"authors","title","journal","issue","volume","pages","article_no","doi","doctype","year","date","database","ExportDate"
"Hori, K., Okunishi, T., Nakamura, K., Iijima, K., Hagimoto, M., Hayakawa, K., Shu, K., Ikka, T., Yamashita, H., Yamasaki, M., Takeuchi, Y., Koyama, S., Tsujii, Y., Kayano, T., Ishii, T., Kumamaru, T., Kawagoe, Y., Yamamoto, T.","Genetic Background Negates Improvements in Rice Flour Characteristics and Food  Processing Properties Caused by a Mutant Allele of the PDIL1-1 Seed Storage  Protein Gene.","Rice (New York, N.Y.)","1","15","13","10.1186/s12284-022-00560-w [doi]","10.1186/s12284-022-00560-w","Journal Article","2022","Mar 5","PubMed",2024-01-29
"Telengech, P., Shahi, S., Kondo, H., Suzuki, N.","A novel deltapartitivirus from red clover.","Archives of virology","4","167","1201-1204","10.1007/s00705-022-05372-3 [doi]","10.1007/s00705-022-05372-3","Journal Article","2022","Apr","PubMed",2024-01-29
"Gu, M., Huang, H., Hisano, H., Ding, G., Huang, S., Mitani-Ueno, N., Yokosho, K., Sato, K., Yamaji, N., Ma, J.F.","A crucial role for a node-localized transporter, HvSPDT, in loading phosphorus  into barley grains.","The New phytologist","4","234","1249-1261","10.1111/nph.18057 [doi]","10.1111/nph.18057","Journal Article","2022","May","PubMed",2024-01-29
"Onosato, H., Fujimoto, G., Higami, T., Sakamoto, T., Yamada, A., Suzuki, T., Ozawa, R., Matsunaga, S., Seki, M., Ueda, M., Sako, K., Galis, I., Arimura, G.","Sustained defense response via volatile signaling and its epigenetic  transcriptional regulation.","Plant physiology","2","189","922-933","10.1093/plphys/kiac077 [doi]","10.1093/plphys/kiac077","Journal Article","2022","Jun 1","PubMed",2024-01-29
"Huang, S., Ma, J.F.","Role of calcium signaling in aluminum tolerance in Arabidopsis.","The New phytologist","6","233","2327-2329","10.1111/nph.17953 [doi]","10.1111/nph.17953","Comment","2022","Mar","PubMed",2024-01-29
"Ikeda, H.","Decades-long phylogeographic issues: complex historical processes and ecological  factors on genetic structure of alpine plants in the Japanese Archipelago.","Journal of plant research","2","135","191-201","10.1007/s10265-022-01377-w [doi]","10.1007/s10265-022-01377-w","Journal Article","2022","Mar","PubMed",2024-01-29
"Ho, T.T.H., Schwier, C., Elman, T., Fleuter, V., Zinzius, K., Scholz, M., Yacoby, I., Buchert, F., Hippler, M.","Photosystem I light-harvesting proteins regulate photosynthetic electron transfer  and hydrogen production.","Plant physiology","1","189","329-343","10.1093/plphys/kiac055 [doi]","10.1093/plphys/kiac055","Journal Article","2022","May 3","PubMed",2024-01-29
"Maeda, H., Takahashi, K., Ueno, Y., Sakata, K., Yokoyama, A., Yarimizu, K., Myouga, F., Shinozaki, K., Ozawa, S., Takahashi, Y., Tanaka, A., Ito, H., Akimoto, S., Takabayashi, A., Tanaka, R.","Characterization of photosystem II assembly complexes containing ONE-HELIX  PROTEIN1 in Arabidopsis thaliana.","Journal of plant research","2","135","361-376","10.1007/s10265-022-01376-x [doi]","10.1007/s10265-022-01376-x","Journal Article","2022","Mar","PubMed",2024-01-29
"Khan, H.A., Sato, Y., Kondo, H., Jamal, A., Bhatti, M.F., Suzuki, N.","A novel victorivirus from the phytopathogenic fungus Neofusicoccum parvum.","Archives of virology","3","167","923-929","10.1007/s00705-021-05304-7 [doi]","10.1007/s00705-021-05304-7","Journal Article","2022","Mar","PubMed",2024-01-29
"Kondo, H., Maejima, H., Maruyama, K., Fujita, M., Ohki, T.","First Report of Chinese Wheat Mosaic Virus that Infects Barley in Japan.","Plant disease",NA,NA,"PDIS12212803PDN","10.1094/PDIS-12-21-2803-PDN [doi]","10.1094/PDIS-12-21-2803-PDN","Journal Article","2022","Jul 20","PubMed",2024-01-29
"Nagamatsu, S., Wada, T., Matsushima, R., Fujita, N., Miura, S., Crofts, N., Hosaka, Y., Yamaguchi, O., Kumamaru, T.","Mutation in BEIIb mitigates the negative effect of the mutation in ISA1 on grain  filling and amyloplast formation in rice.","Plant molecular biology","4-5","108","497-512","10.1007/s11103-022-01242-3 [doi]","10.1007/s11103-022-01242-3","Journal Article","2022","Mar","PubMed",2024-01-29
"Zerbini, F.M., Siddell, S.G., Mushegian, A.R., Walker, P.J., Lefkowitz, E.J., Adriaenssens, E.M., Alfenas-Zerbini, P., Dutilh, B.E., Garcia, M.L., Junglen, S., Krupovic, M., Kuhn, J.H., Lambert, A.J., Lobocka, M., Oksanen, H.M., Robertson, D.L., Rubino, L., Sabanadzovic, S., Simmonds, P., Suzuki, N., Van Doorslaer, K., Vandamme, A., Varsani, A.","Differentiating between viruses and virus species by writing their names  correctly.","Archives of virology","4","167","1231-1234","10.1007/s00705-021-05323-4 [doi]","10.1007/s00705-021-05323-4","Journal Article","2022","Apr","PubMed",2024-01-29
"Katsuhara, M.","New Year's greetings 2022 from the Journal of Plant Research.","Journal of plant research","1","135","1-2","10.1007/s10265-021-01363-8 [doi]","10.1007/s10265-021-01363-8","Editorial","2022","Jan","PubMed",2024-01-29
"Sakkour, A., Mascher, M., Himmelbach, A., Haberer, G., Lux, T., Spannagl, M., Stein, N., Kawamoto, S., Sato, K.","Chromosome-scale assembly of barley cv. 'Haruna Nijo' as a resource for barley  genetics.","DNA research : an international journal for rapid publication of reports on genes  and genomes","1","29",NA,"10.1093/dnares/dsac001 [doi]","10.1093/dnares/dsac001","Journal Article","2022","Jan 28","PubMed",2024-01-29
"Huang, S., Yamaji, N., Sakurai, G., Mitani-Ueno, N., Konishi, N., Ma, J.F.","A pericycle-localized silicon transporter for efficient xylem loading in rice.","The New phytologist","1","234","197-208","10.1111/nph.17959 [doi]","10.1111/nph.17959","Journal Article","2022","Apr","PubMed",2024-01-29
"Buchert, F., Scholz, M., Hippler, M.","Electron transfer via cytochrome b6f complex displays sensitivity to antimycin A  upon STT7 kinase activation.","The Biochemical journal","1","479","111-127","10.1042/BCJ20210802 [doi]","10.1042/BCJ20210802","Journal Article","2022","Jan 14","PubMed",2024-01-29
"Marchetti, G.M., Fusser, F., Singh, R.K., Brummel, M., Koch, O., Kummel, D., Hippler, M.","Structural analysis revealed a novel conformation of the NTRC reductase domain  from Chlamydomonas reinhardtii.","Journal of structural biology","1","214","107829","S1047-8477(21)00134-9 [pii]","10.1016/j.jsb.2021.107829","Journal Article","2022","Mar","PubMed",2024-01-29
"Wari, D., Aboshi, T., Shinya, T., Galis, I.","Integrated view of plant metabolic defense with particular focus on chewing  herbivores.","Journal of integrative plant biology","2","64","449-475","10.1111/jipb.13204 [doi]","10.1111/jipb.13204","Journal Article","2022","Feb","PubMed",2024-01-29
"Huang, S., Konishi, N., Yamaji, N., Shao, J.F., Mitani-Ueno, N., Ma, J.F.","Boron uptake in rice is regulated post-translationally via a clathrin-independent  pathway.","Plant physiology","3","188","1649-1664","10.1093/plphys/kiab575 [doi]","10.1093/plphys/kiab575","Comparative Study","2022","Mar 4","PubMed",2024-01-29
"Shinya, T., Miyamoto, K., Uchida, K., Hojo, Y., Yumoto, E., Okada, K., Yamane, H., Galis, I.","Chitooligosaccharide elicitor and oxylipins synergistically elevate phytoalexin  production in rice.","Plant molecular biology","4-5","109","595-609","10.1007/s11103-021-01217-w [doi]","10.1007/s11103-021-01217-w","Journal Article","2022","Jul","PubMed",2024-01-29
"Huang, S., Yamaji, N., Feng Ma, J.","Zinc transport in rice: how to balance optimal plant requirements and human  nutrition.","Journal of experimental botany","6","73","1800-1808","10.1093/jxb/erab478 [doi]","10.1093/jxb/erab478","Journal Article","2022","Mar 15","PubMed",2024-01-29
"Shiono, K., Yoshikawa, M., Kreszies, T., Yamada, S., Hojo, Y., Matsuura, T., Mori, I.C., Schreiber, L., Yoshioka, T.","Abscisic acid is required for exodermal suberization to form a barrier to radial  oxygen loss in the adventitious roots of rice (Oryza sativa).","The New phytologist","2","233","655-669","10.1111/nph.17751 [doi]","10.1111/nph.17751","Journal Article","2022","Jan","PubMed",2024-01-29
"Sato, Y., Shahi, S., Telengech, P., Hisano, S., Cornejo, C., Rigling, D., Kondo, H., Suzuki, N.","A new tetra-segmented splipalmivirus with divided RdRP domains from Cryphonectria  naterciae, a fungus found on chestnut and cork oak trees in Europe.","Virus research",NA,"307","198606","S0168-1702(21)00313-0 [pii]","10.1016/j.virusres.2021.198606","Journal Article","2022","Jan 2","PubMed",2024-01-29
"Gustafsson, A.L.S., Gussarova, G., Borgen, L., Ikeda, H., Antonelli, A., Marie-Orleach, L., Rieseberg, L.H., Brochmann, C.","Rapid evolution of post-zygotic reproductive isolation is widespread in Arctic  plant lineages.","Annals of botany","2","129","171-184","10.1093/aob/mcab128 [doi]","10.1093/aob/mcab128","Journal Article","2022","Jan 28","PubMed",2024-01-29
"Okegawa, Y., Tsuda, N., Sakamoto, W., Motohashi, K.","Maintaining the Chloroplast Redox Balance through the PGR5-Dependent Pathway and  the Trx System Is Required for Light-Dependent Activation of Photosynthetic  Reactions.","Plant & cell physiology","1","63","92-103","10.1093/pcp/pcab148 [doi]","10.1093/pcp/pcab148","Comparative Study","2022","Jan 25","PubMed",2024-01-29
"Rathod, M.K., Nellaepalli, S., Ozawa, S., Kuroda, H., Kodama, N., Bujaldon, S., Wollman, F., Takahashi, Y.","Assembly Apparatus of Light-Harvesting Complexes: Identification of  Alb3.1-cpSRP-LHCP Complexes in the Green Alga Chlamydomonas reinhardtii.","Plant & cell physiology","1","63","70-81","10.1093/pcp/pcab146 [doi]","10.1093/pcp/pcab146","Comparative Study","2022","Jan 25","PubMed",2024-01-29
"Valea, I., Motegi, A., Kawamura, N., Kawamoto, K., Miyao, A., Ozawa, R., Takabayashi, J., Gomi, K., Nemoto, K., Nozawa, A., Sawasaki, T., Shinya, T., Galis, I., Miyamoto, K., Nojiri, H., Okada, K.","The rice wound-inducible transcription factor RERJ1 sharing same signal  transduction pathway with OsMYC2 is necessary for defense response to herbivory  and bacterial blight.","Plant molecular biology","4-5","109","651-666","10.1007/s11103-021-01186-0 [doi]","10.1007/s11103-021-01186-0","Journal Article","2022","Jul","PubMed",2024-01-29
"Hisano, H., Hoffie, R.E., Abe, F., Munemori, H., Matsuura, T., Endo, M., Mikami, M., Nakamura, S., Kumlehn, J., Sato, K.","Regulation of germination by targeted mutagenesis of grain dormancy genes in  barley.","Plant biotechnology journal","1","20","37-46","10.1111/pbi.13692 [doi]","10.1111/pbi.13692","Journal Article","2022","Jan","PubMed",2024-01-29
"Yamaji, N., Ma, J.F.","Metalloid transporters and their regulation in plants.","Plant physiology","4","187","1929-1939","10.1093/plphys/kiab326 [doi]","10.1093/plphys/kiab326","Journal Article","2021","Dec 4","PubMed",2024-01-29
"Zhang, J., Matsuo, T., Hamasaki, I., Sato, K.","Whole Exome-Sequencing of Pooled Genomic DNA Samples to Detect Quantitative Trait  Loci in Esotropia and Exotropia of Strabismus in Japanese.","Life (Basel, Switzerland)","1","12",NA,"10.3390/life12010041 [doi]","10.3390/life12010041","Journal Article","2021","Dec 27","PubMed",2024-01-29
"Hisano, H., Abe, F., Hoffie, R.E., Kumlehn, J.","Targeted genome modifications in cereal crops.","Breeding science","4","71","405-416","10.1270/jsbbs.21019 [doi]","10.1270/jsbbs.21019","Journal Article","2021","Sep","PubMed",2024-01-29
"Li, X.L., Zhao, X.Q., Dong, X.Y., Ma, J.F., Shen, R.F.","Secretion of Gluconic Acid From Nguyenibacter sp. L1 Is Responsible for  Solubilization of Aluminum Phosphate.","Frontiers in microbiology",NA,"12","784025","10.3389/fmicb.2021.784025 [doi]","10.3389/fmicb.2021.784025","Journal Article","2021","","PubMed",2024-01-29
"Khan, H.A., Shamsi, W., Jamal, A., Javaied, M., Sadiq, M., Fatma, T., Ahmed, A., Arshad, M., Waseem, M., Babar, S., Dogar, M.M., Virk, N., Janjua, H.A., Kondo, H., Suzuki, N., Bhatti, M.F.","Assessment of mycoviral diversity in Pakistani fungal isolates revealed infection  by 11 novel viruses of a single strain of Fusarium mangiferae isolate SP1.","The Journal of general virology","12","102",NA,"10.1099/jgv.0.001690 [doi]","10.1099/jgv.0.001690","Journal Article","2021","Dec","PubMed",2024-01-29
"Kuhn, J.H., Adkins, S., Agwanda, B.R., Al Kubrusli, R., Alkhovsky, S.V., Amarasinghe, G.K., Avsic-Zupanc, T., Ayllon, M.A., Bahl, J., Balkema-Buschmann, A., Ballinger, M.J., Basler, C.F., Bavari, S., Beer, M., Bejerman, N., Bennett, A.J., Bente, D.A., Bergeron, E., Bird, B.H., Blair, C.D., Blasdell, K.R., Blystad, D., Bojko, J., Borth, W.B., Bradfute, S., Breyta, R., Briese, T., Brown, P.A., Brown, J.K., Buchholz, U.J., Buchmeier, M.J., Bukreyev, A., Burt, F., Buttner, C., Calisher, C.H., Cao, M., Casas, I., Chandran, K., Charrel, R.N., Cheng, Q., Chiaki, Y., Chiapello, M., Choi, I., Ciuffo, M., Clegg, J.C.S., Crozier, I., Dal Bo, E., de la Torre, J.C., de Lamballerie, X., de Swart, R.L., Debat, H., Dheilly, N.M., Di Cicco, E., Di Paola, N., Di Serio, F., Dietzgen, R.G., Digiaro, M., Dolnik, O., Drebot, M.A., Drexler, J.F., Dundon, W.G., Duprex, W.P., Durrwald, R., Dye, J.M., Easton, A.J., Ebihara, H., Elbeaino, T., Ergunay, K., Ferguson, H.W., Fooks, A.R., Forgia, M., Formenty, P.B.H., Franova, J., Freitas-Astua, J., Fu, J., Furl, S., Gago-Zachert, S., Gao, G.F., Garcia, M.L., Garcia-Sastre, A., Garrison, A.R., Gaskin, T., Gonzalez, J.J., Griffiths, A., Goldberg, T.L., Groschup, M.H., Gunther, S., Hall, R.A., Hammond, J., Han, T., Hepojoki, J., Hewson, R., Hong, J., Hong, N., Hongo, S., Horie, M., Hu, J.S., Hu, T., Hughes, H.R., Huttner, F., Hyndman, T.H., Ilyas, M., Jalkanen, R., Jiang, D., Jonson, G.B., Junglen, S., Kadono, F., Kaukinen, K.H., Kawate, M., Klempa, B., Klingstrom, J., Kobinger, G., Koloniuk, I., Kondo, H., Koonin, E.V., Krupovic, M., Kubota, K., Kurath, G., Laenen, L., Lambert, A.J., Langevin, S.L., Lee, B., Lefkowitz, E.J., Leroy, E.M., Li, S., Li, L., Li, J., Liu, H., Lukashevich, I.S., Maes, P., de Souza, W.M., Marklewitz, M., Marshall, S.H., Marzano, S.L., Massart, S., McCauley, J.W., Melzer, M., Mielke-Ehret, N., Miller, K.M., Ming, T.J., Mirazimi, A., Mordecai, G.J., Muhlbach, H., Muhlberger, E., Naidu, R., Natsuaki, T., Navarro, J.A., Netesov, S.V., Neumann, G., Nowotny, N., Nunes, M.R.T., Olmedo-Velarde, A., Palacios, G., Pallas, V., Palyi, B., Papa, A., Paraskevopoulou, S., Park, A.C., Parrish, C.R., Patterson, D.A., Pauvolid-Correa, A., Paweska, J.T., Payne, S., Peracchio, C., Perez, D.R., Postler, T.S., Qi, L., Radoshitzky, S.R., Resende, R.O., Reyes, C.A., Rima, B.K., Luna, G.R., Romanowski, V., Rota, P., Rubbenstroth, D., Rubino, L., Runstadler, J.A., Sabanadzovic, S., Sall, A.A., Salvato, M.S., Sang, R., Sasaya, T., Schulze, A.D., Schwemmle, M., Shi, M., Shi, X., Shi, Z., Shimomoto, Y., Shirako, Y., Siddell, S.G., Simmonds, P., Sironi, M., Smagghe, G., Smither, S., Song, J., Spann, K., Spengler, J.R., Stenglein, M.D., Stone, D.M., Sugano, J., Suttle, C.A., Tabata, A., Takada, A., Takeuchi, S., Tchouassi, D.P., Teffer, A., Tesh, R.B., Thornburg, N.J., Tomitaka, Y., Tomonaga, K., Tordo, N., Torto, B., Towner, J.S., Tsuda, S., Tu, C., Turina, M., Tzanetakis, I.E., Uchida, J., Usugi, T., Vaira, A.M., Vallino, M., van den Hoogen, B., Varsani, A., Vasilakis, N., Verbeek, M., von Bargen, S., Wada, J., Wahl, V., Walker, P.J., Wang, L., Wang, G., Wang, Y., Wang, Y., Waqas, M., Wei, T., Wen, S., Whitfield, A.E., Williams, J.V., Wolf, Y.I., Wu, J., Xu, L., Yanagisawa, H., Yang, C., Yang, Z., Zerbini, F.M., Zhai, L., Zhang, Y., Zhang, S., Zhang, J., Zhang, Z., Zhou, X.","Correction to: 2021 Taxonomic update of phylum Negarnaviricota (Riboviria:  Orthornavirae), including the large orders Bunyavirales and Mononegavirales.","Archives of virology","12","166","3567-3579","10.1007/s00705-021-05266-w [doi]","10.1007/s00705-021-05266-w","Published Erratum","2021","Dec","PubMed",2024-01-29
"Kawano, Y.","Fine-tuning ROS homeostasis by ROD1 is a battleground between rice and  Magnaporthe oryzae.","Molecular plant","12","14","1979-1981","S1674-2052(21)00436-6 [pii]","10.1016/j.molp.2021.11.005","Journal Article","2021","Dec 6","PubMed",2024-01-29
"Alessa, O., Ogura, Y., Fujitani, Y., Takami, H., Hayashi, T., Sahin, N., Tani, A.","Comprehensive Comparative Genomics and Phenotyping of Methylobacterium Species.","Frontiers in microbiology",NA,"12","740610","10.3389/fmicb.2021.740610 [doi]","10.3389/fmicb.2021.740610","Journal Article","2021","","PubMed",2024-01-29
"Saitoh, Y., Mitani-Ueno, N., Saito, K., Matsuki, K., Huang, S., Yang, L., Yamaji, N., Ishikita, H., Shen, J., Ma, J.F., Suga, M.","Structural basis for high selectivity of a rice silicon channel Lsi1.","Nature communications","1","12","6236","10.1038/s41467-021-26535-x [doi]","10.1038/s41467-021-26535-x","Journal Article","2021","Oct 29","PubMed",2024-01-29
"Hongqiao, L., Suyama, A., Mitani-Ueno, N., Hell, R., Maruyama-Nakashita, A.","A Low Level of NaCl Stimulates Plant Growth by Improving Carbon and Sulfur  Assimilation in Arabidopsis thaliana.","Plants (Basel, Switzerland)","10","10",NA,"10.3390/plants10102138 [doi]","10.3390/plants10102138","Journal Article","2021","Oct 9","PubMed",2024-01-29
"Almerekova, S., Genievskaya, Y., Abugalieva, S., Sato, K., Turuspekov, Y.","Population Structure and Genetic Diversity of Two-Rowed Barley Accessions from  Kazakhstan Based on SNP Genotyping Data.","Plants (Basel, Switzerland)","10","10",NA,"10.3390/plants10102025 [doi]","10.3390/plants10102025","Journal Article","2021","Sep 27","PubMed",2024-01-29
"Imran, S., Tsuchiya, Y., Tran, S.T.H., Katsuhara, M.","Identification and Characterization of Rice OsHKT1;3 Variants.","Plants (Basel, Switzerland)","10","10",NA,"10.3390/plants10102006 [doi]","10.3390/plants10102006","Journal Article","2021","Sep 24","PubMed",2024-01-29
"Cornejo, C., Hisano, S., Braganca, H., Suzuki, N., Rigling, D.","A New Double-Stranded RNA Mycovirus in Cryphonectria naterciae Is Able to Cross  the Species Barrier and Is Deleterious to a New Host.","Journal of fungi (Basel, Switzerland)","10","7",NA,"10.3390/jof7100861 [doi]","10.3390/jof7100861","Journal Article","2021","Oct 14","PubMed",2024-01-29
"Nagaki, K., Furuta, T., Yamaji, N., Kuniyoshi, D., Ishihara, M., Kishima, Y., Murata, M., Hoshino, A., Takatsuka, H.","Effectiveness of Create ML in microscopy image classifications: a simple and  inexpensive deep learning pipeline for non-data scientists.","Chromosome research : an international journal on the molecular, supramolecular  and evolutionary aspects of chromosome biology","3-4","29","361-371","10.1007/s10577-021-09676-z [doi]","10.1007/s10577-021-09676-z","Journal Article","2021","Dec","PubMed",2024-01-29
"Hirayama, T.","PARN-like Proteins Regulate Gene Expression in Land Plant Mitochondria by  Modulating mRNA Polyadenylation.","International journal of molecular sciences","19","22",NA,"10.3390/ijms221910776 [doi]","10.3390/ijms221910776","Journal Article","2021","Oct 5","PubMed",2024-01-29
"Jing, Z., Wacera W, F., Takami, T., Takanashi, H., Fukada, F., Kawano, Y., Kajiya-Kanegae, H., Iwata, H., Tsutsumi, N., Sakamoto, W.","NB-LRR-encoding genes conferring susceptibility to organophosphate pesticides in  sorghum.","Scientific reports","1","11","19828","10.1038/s41598-021-98908-7 [doi]","10.1038/s41598-021-98908-7","Journal Article","2021","Oct 6","PubMed",2024-01-29
"Sata, H., Shimizu, M., Iwasaki, T., Ikeda, H., Soejima, A., Kozhevnikov, A.E., Kozhevnikova, Z.V., Im, H., Jang, S., Azuma, T., Nagano, A.J., Fujii, N.","Phylogeography of the East Asian grassland plant, Viola orientalis (Violaceae),  inferred from plastid and nuclear restriction site-associated DNA sequencing  data.","Journal of plant research","6","134","1181-1198","10.1007/s10265-021-01339-8 [doi]","10.1007/s10265-021-01339-8","Journal Article","2021","Nov","PubMed",2024-01-29
"Sato, K., Mascher, M., Himmelbach, A., Haberer, G., Spannagl, M., Stein, N.","Chromosome-scale assembly of wild barley accession ""OUH602"".","G3 (Bethesda, Md.)","10","11",NA,"10.1093/g3journal/jkab244 [doi]","10.1093/g3journal/jkab244","Journal Article","2021","Sep 27","PubMed",2024-01-29
"Hippler, M., Minagawa, J., Takahashi, Y.","Photosynthesis and Chloroplast Regulation-Balancing Photosynthesis and  Photoprotection under Changing Environments.","Plant & cell physiology","7","62","1059-1062","10.1093/pcp/pcab139 [doi]","10.1093/pcp/pcab139","Editorial","2021","Oct 29","PubMed",2024-01-29
"Richardson, K.H., Wright, J.J., Simenas, M., Thiemann, J., Esteves, A.M., McGuire, G., Myers, W.K., Morton, J.J.L., Hippler, M., Nowaczyk, M.M., Hanke, G.T., Roessler, M.M.","Functional basis of electron transport within photosynthetic complex I.","Nature communications","1","12","5387","10.1038/s41467-021-25527-1 [doi]","10.1038/s41467-021-25527-1","Journal Article","2021","Sep 10","PubMed",2024-01-29
"Kondo, H., Yoshida, N., Fujita, M., Maruyama, K., Hyodo, K., Hisano, H., Tamada, T., Andika, I.B., Suzuki, N.","Identification of a Novel Quinvirus in the Family Betaflexiviridae That Infects  Winter Wheat.","Frontiers in microbiology",NA,"12","715545","10.3389/fmicb.2021.715545 [doi]","10.3389/fmicb.2021.715545","Journal Article","2021","","PubMed",2024-01-29
"Tsuchiya, Y., Nakamura, T., Izumi, Y., Okazaki, K., Shinano, T., Kubo, Y., Katsuhara, M., Sasaki, T., Yamamoto, Y.","Erratum To: Physiological Role of Aerobic Fermentation Constitutively Expressed  in an Aluminum-Tolerant Cell Line of Tobacco (Nicotiana Tabacum).","Plant & cell physiology","6","62","1058","10.1093/pcp/pcab131 [doi]","10.1093/pcp/pcab131","Published Erratum","2021","Oct 11","PubMed",2024-01-29
"Kuhn, J.H., Adkins, S., Agwanda, B.R., Al Kubrusli, R., Alkhovsky, S.V., Amarasinghe, G.K., Avsic-Zupanc, T., Ayllon, M.A., Bahl, J., Balkema-Buschmann, A., Ballinger, M.J., Basler, C.F., Bavari, S., Beer, M., Bejerman, N., Bennett, A.J., Bente, D.A., Bergeron, E., Bird, B.H., Blair, C.D., Blasdell, K.R., Blystad, D., Bojko, J., Borth, W.B., Bradfute, S., Breyta, R., Briese, T., Brown, P.A., Brown, J.K., Buchholz, U.J., Buchmeier, M.J., Bukreyev, A., Burt, F., Buttner, C., Calisher, C.H., Cao, M., Casas, I., Chandran, K., Charrel, R.N., Cheng, Q., Chiaki, Y., Chiapello, M., Choi, I., Ciuffo, M., Clegg, J.C.S., Crozier, I., Dal Bo, E., de la Torre, J.C., de Lamballerie, X., de Swart, R.L., Debat, H., Dheilly, N.M., Di Cicco, E., Di Paola, N., Di Serio, F., Dietzgen, R.G., Digiaro, M., Dolnik, O., Drebot, M.A., Drexler, J.F., Dundon, W.G., Duprex, W.P., Durrwald, R., Dye, J.M., Easton, A.J., Ebihara, H., Elbeaino, T., Ergunay, K., Ferguson, H.W., Fooks, A.R., Forgia, M., Formenty, P.B.H., Franova, J., Freitas-Astua, J., Fu, J., Furl, S., Gago-Zachert, S., Gao, G.F., Garcia, M.L., Garcia-Sastre, A., Garrison, A.R., Gaskin, T., Gonzalez, J.J., Griffiths, A., Goldberg, T.L., Groschup, M.H., Gunther, S., Hall, R.A., Hammond, J., Han, T., Hepojoki, J., Hewson, R., Hong, J., Hong, N., Hongo, S., Horie, M., Hu, J.S., Hu, T., Hughes, H.R., Huttner, F., Hyndman, T.H., Ilyas, M., Jalkanen, R., Jiang, D., Jonson, G.B., Junglen, S., Kadono, F., Kaukinen, K.H., Kawate, M., Klempa, B., Klingstrom, J., Kobinger, G., Koloniuk, I., Kondo, H., Koonin, E.V., Krupovic, M., Kubota, K., Kurath, G., Laenen, L., Lambert, A.J., Langevin, S.L., Lee, B., Lefkowitz, E.J., Leroy, E.M., Li, S., Li, L., Li, J., Liu, H., Lukashevich, I.S., Maes, P., de Souza, W.M., Marklewitz, M., Marshall, S.H., Marzano, S.L., Massart, S., McCauley, J.W., Melzer, M., Mielke-Ehret, N., Miller, K.M., Ming, T.J., Mirazimi, A., Mordecai, G.J., Muhlbach, H., Muhlberger, E., Naidu, R., Natsuaki, T., Navarro, J.A., Netesov, S.V., Neumann, G., Nowotny, N., Nunes, M.R.T., Olmedo-Velarde, A., Palacios, G., Pallas, V., Palyi, B., Papa, A., Paraskevopoulou, S., Park, A.C., Parrish, C.R., Patterson, D.A., Pauvolid-Correa, A., Paweska, J.T., Payne, S., Peracchio, C., Perez, D.R., Postler, T.S., Qi, L., Radoshitzky, S.R., Resende, R.O., Reyes, C.A., Rima, B.K., Luna, G.R., Romanowski, V., Rota, P., Rubbenstroth, D., Rubino, L., Runstadler, J.A., Sabanadzovic, S., Sall, A.A., Salvato, M.S., Sang, R., Sasaya, T., Schulze, A.D., Schwemmle, M., Shi, M., Shi, X., Shi, Z., Shimomoto, Y., Shirako, Y., Siddell, S.G., Simmonds, P., Sironi, M., Smagghe, G., Smither, S., Song, J., Spann, K., Spengler, J.R., Stenglein, M.D., Stone, D.M., Sugano, J., Suttle, C.A., Tabata, A., Takada, A., Takeuchi, S., Tchouassi, D.P., Teffer, A., Tesh, R.B., Thornburg, N.J., Tomitaka, Y., Tomonaga, K., Tordo, N., Torto, B., Towner, J.S., Tsuda, S., Tu, C., Turina, M., Tzanetakis, I.E., Uchida, J., Usugi, T., Vaira, A.M., Vallino, M., van den Hoogen, B., Varsani, A., Vasilakis, N., Verbeek, M., von Bargen, S., Wada, J., Wahl, V., Walker, P.J., Wang, L., Wang, G., Wang, Y., Wang, Y., Waqas, M., Wei, T., Wen, S., Whitfield, A.E., Williams, J.V., Wolf, Y.I., Wu, J., Xu, L., Yanagisawa, H., Yang, C., Yang, Z., Zerbini, F.M., Zhai, L., Zhang, Y., Zhang, S., Zhang, J., Zhang, Z., Zhou, X.","2021 Taxonomic update of phylum Negarnaviricota (Riboviria: Orthornavirae),  including the large orders Bunyavirales and Mononegavirales.","Archives of virology","12","166","3513-3566","10.1007/s00705-021-05143-6 [doi]","10.1007/s00705-021-05143-6","Journal Article","2021","Dec","PubMed",2024-01-29
"Swetha, B., Singiri, J.R., Novoplansky, N., Grandhi, R., Srinivasan, J., Khadka, J., Galis, I., Grafi, G.","Single and Combined Salinity and Heat Stresses Impact Yield and Dead Pericarp  Priming Activity.","Plants (Basel, Switzerland)","8","10",NA,"10.3390/plants10081627 [doi]","10.3390/plants10081627","Journal Article","2021","Aug 8","PubMed",2024-01-29
"Ida, T., Crofts, N., Miura, S., Matsushima, R., Fujita, N.","Structure and Properties of Starch in Rice Double Mutants Lacking Starch Synthase  (SS) IIa and Starch Branching Enzyme (BE) IIb.","Journal of applied glycoscience","2","68","31-39","10.5458/jag.jag.JAG-2021_0002 [doi]","10.5458/jag.jag.JAG-2021_0002","Journal Article","2021","","PubMed",2024-01-29
"Yaeno, T., Wahara, M., Nagano, M., Wanezaki, H., Toda, H., Inoue, H., Eishima, A., Nishiguchi, M., Hisano, H., Kobayashi, K., Sato, K., Yamaoka, N.","RACE1, a Japanese Blumeria graminis f. sp. hordei isolate, is capable of  overcoming partially mlo-mediated penetration resistance in barley in an  allele-specific manner.","PloS one","8","16","e0256574","10.1371/journal.pone.0256574 [doi]","10.1371/journal.pone.0256574","Journal Article","2021","","PubMed",2024-01-29
